BMW 3 Series Sedan (F30) LCI 330i xDrive 8AT (252);L4;1998,00;185 @ 5200-6000;350 @ 1450-4800;Turbocharged Direct Injection;Gasoline;144,00;249,00;;42587,00;All Wheel Drive;8-speed automatic (Steptronic);42589,00;42405,00;42406,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.29;1565;2115
BMW 3 Series Sedan (F30) LCI 340i 6MT (326);L4;2998,00;240 @ 5500-6500;450 @ 1380-5000;Turbocharged Direct Injection;Gasoline;179,00;249,00;;42405,00;Rear Wheel Drive;6-speed manual;42470,00;42375,00;42558,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.29;1530;2090
BMW 3 Series Sedan (F30) LCI 340i 8AT (326);L4;2998,00;240 @ 5500-6500;450 @ 1380-5000;Turbocharged Direct Injection;Gasoline;159,00;249,00;;42374,00;Rear Wheel Drive;8-speed automatic (Steptronic);42378,00;42495,00;42588,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.29;1540;2100
BMW 3 Series Sedan (F30) LCI 340i xDrive 6MT (326);L4;2998,00;240 @ 5500-6500;450 @ 1380-5000;Turbocharged Direct Injection;Gasoline;185,00;249,00;;5,00;All Wheel Drive;6-speed manual;42561,00;42435,00;42620,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.3;1600;2150
BMW 3 Series Sedan (F30) LCI 340i xDrive 8AT (326);L4;2998,00;240 @ 5500-6500;450 @ 1380-5000;Turbocharged Direct Injection;Gasoline;169,00;249,00;;42617,00;All Wheel Drive;8-speed automatic (Steptronic);42560,00;42618,00;42436,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.3;1615;2165
BMW 3 Series Sedan (F30) LCI 316d 6MT (116);L4;1995,00;85 @ 4000;270 @ 1250-2750;Turbocharged Common Rail;Diesel;113,00;204,00;;42561,00;Rear Wheel Drive;6-speed manual;42374,00;42585,00;42433,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.26;1420;1995
BMW 3 Series Sedan (F30) LCI 316d 8AT (116);L4;1995,00;85 @ 4000;270 @ 1250-2750;Turbocharged Common Rail;Diesel;113,00;204,00;;42531,00;Rear Wheel Drive;8-speed automatic (Steptronic);42374,00;42585,00;42433,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.26;1430;2005
BMW 3 Series Sedan (F30) LCI 318 xDrive 6MT (150);L4;1995,00;110 @ 4000;320 @ 1500-3000;Turbocharged Common Rail;Diesel;127,00;212,00;;42590,00;All Wheel Drive;6-speed manual;42618,00;42404,00;42586,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.27;1500;2075
BMW 3 Series Sedan (F30) LCI 318d 6MT (150);L4;1995,00;110 @ 4000;320 @ 1500-3000;Turbocharged Common Rail;Diesel;116,00;216,00;;42529,00;Rear Wheel Drive;6-speed manual;42434,00;42616,00;42464,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.26;1430;2050
BMW 3 Series Sedan (F30) LCI 318d 8AT (150);L4;1995,00;110 @ 4000;320 @ 1500-3000;Turbocharged Common Rail;Diesel;116,00;212,00;;42468,00;Rear Wheel Drive;8-speed automatic (Steptronic);42434,00;42616,00;42464,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.26;1450;2070
BMW 3 Series Sedan (F30) LCI 320d 6MT (190);L4;1995,00;139 @ 4000;400 @ 1750-2500;Turbocharged Common Rail;Diesel;116,00;235,00;;42436,00;Rear Wheel Drive;6-speed manual;42434,00;42616,00;42464,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.26;1430;2005
BMW 3 Series Sedan (F30) LCI 320d 8AT (190);L4;1995,00;139 @ 4000;400 @ 1750-2500;Turbocharged Common Rail;Diesel;116,00;230,00;;42407,00;Rear Wheel Drive;8-speed automatic (Steptronic);42405,00;42616,00;42464,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.26;1450;2025
BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 6MT (163);L4;1995,00;120 @ 4000;400 @ 1750-2250;Turbocharged Common Rail;Diesel;113,00;230,00;;42620,00;Rear Wheel Drive;6-speed manual;42405,00;42585,00;42433,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.24;1420;1970
BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 8AT (163);L4;1995,00;120 @ 4000;400 @ 1750-2250;Turbocharged Common Rail;Diesel;109,00;225,00;;42589,00;Rear Wheel Drive;8-speed automatic (Steptronic);5,00;42524,00;42373,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.24;1430;1980
BMW 3 Series Sedan (F30) LCI 320d xDrive 8AT (190);L4;1995,00;139 @ 4000;400 @ 1750-2500;Turbocharged Common Rail;Diesel;123,00;229,00;;42436,00;All Wheel Drive;8-speed automatic (Steptronic);42495,00;42404,00;42555,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.27;1535;2110
BMW 3 Series Sedan (F30) LCI 325d 6MT (218);L4;1995,00;160 @ 4400;450 @ 1500-2500;Turbocharged Common Rail;Diesel;132,00;245,00;;42588,00;Rear Wheel Drive;6-speed manual;42406,00;42433,00;5,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.28;1475;2035
BMW 3 Series Sedan (F30) LCI 325d 8AT (218);L4;1995,00;160 @ 4400;450 @ 1500-2500;Turbocharged Common Rail;Diesel;125,00;245,00;;42527,00;Rear Wheel Drive;8-speed automatic (Steptronic);42587,00;42404,00;42586,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.28;1490;2050
BMW 3 Series Sedan (F30) LCI 330d 8AT (258);L4;2993,00;190 @ 4000;560 @ 1500-3000;Turbocharged Common Rail;Diesel;131,00;249,00;;42526,00;Rear Wheel Drive;8-speed automatic (Steptronic);6,00;42525,00;5,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.28;1540;2090
BMW 3 Series Sedan (F30) LCI 330d xDrive 8AT (258);L4;2993,00;190 @ 4000;560 @ 1500-3000;Turbocharged Common Rail;Diesel;139,00;249,00;;42434,00;All Wheel Drive;8-speed automatic (Steptronic);42375,00;42586,00;42434,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.29;1615;2165
BMW 3 Series Sedan (F30) LCI 335d xDrive 8AT (313);L4;2993,00;230 @ 4400;630 @ 1500-2500;Turbocharged Common Rail;Diesel;145,00;249,00;;42586,00;All Wheel Drive;8-speed automatic (Steptronic);42496,00;42617,00;42495,00;4633,00;1811,00;1430,00;1,00;5421,00;582,00;2809,00;140,00;17;481;0.29;1630;2180
