BMW 3 Series Sedan (F30) LCI 340i 8AT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,159,249,,5.1,Rear Wheel Drive,8-speed automatic (Steptronic),9.1,5.5,6.8,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.29,1540,2100
BMW 3 Series Sedan (F30) LCI 340i xDrive 6MT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,185,249,,5,All Wheel Drive,6-speed manual,10.7,6.3,7.9,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.3,1600,2150
BMW 3 Series Sedan (F30) LCI 340i xDrive 8AT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,169,249,,4.9,All Wheel Drive,8-speed automatic (Steptronic),9.7,5.9,7.3,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.3,1615,2165
BMW 3 Series Sedan (F30) LCI 316d 6MT (116),L4,1995,85 @ 4000,270 @ 1250-2750,Turbocharged Common Rail,Diesel,113,204,,10.7,Rear Wheel Drive,6-speed manual,5.1,3.8,4.3,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.26,1420,1995
BMW 3 Series Sedan (F30) LCI 316d 8AT (116),L4,1995,85 @ 4000,270 @ 1250-2750,Turbocharged Common Rail,Diesel,113,204,,10.6,Rear Wheel Drive,8-speed automatic (Steptronic),5.1,3.8,4.3,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.26,1430,2005
BMW 3 Series Sedan (F30) LCI 318 xDrive 6MT (150),L4,1995,110 @ 4000,320 @ 1500-3000,Turbocharged Common Rail,Diesel,127,212,,8.8,All Wheel Drive,6-speed manual,5.9,4.2,4.8,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.27,1500,2075
BMW 3 Series Sedan (F30) LCI 318d 6MT (150),L4,1995,110 @ 4000,320 @ 1500-3000,Turbocharged Common Rail,Diesel,116,216,,8.6,Rear Wheel Drive,6-speed manual,5.3,3.9,4.4,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.26,1430,2050
BMW 3 Series Sedan (F30) LCI 318d 8AT (150),L4,1995,110 @ 4000,320 @ 1500-3000,Turbocharged Common Rail,Diesel,116,212,,8.4,Rear Wheel Drive,8-speed automatic (Steptronic),5.3,3.9,4.4,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.26,1450,2070
BMW 3 Series Sedan (F30) LCI 320d 6MT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,116,235,,7.3,Rear Wheel Drive,6-speed manual,5.3,3.9,4.4,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.26,1430,2005
BMW 3 Series Sedan (F30) LCI 320d 8AT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,116,230,,7.2,Rear Wheel Drive,8-speed automatic (Steptronic),5.2,3.9,4.4,4633,1811,1430,"1,542/1,582",2809,140,17,481,0.26,1450,2025
