+BMW 3 Series Sedan (F30) LCI 316d 6MT (116),L4,1995,85 @ 4000 RPM,270 Nm @ 1250-2750 RPM,Turbocharged Common Rail,Diesel,113 g/km,204 km/h,10.7 s,Rear Wheel Drive,6-speed manual,5.1 L/100Km,3.8 L/100Km,4.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1420 kg,1995 kg
+BMW 3 Series Sedan (F30) LCI 316d 8AT (116),L4,1995,85 @ 4000 RPM,270 Nm @ 1250-2750 RPM,Turbocharged Common Rail,Diesel,113 g/km,204 km/h,10.6 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.1 L/100Km,3.8 L/100Km,4.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1430 kg,2005 kg
+BMW 3 Series Sedan (F30) LCI 318 xDrive 6MT (150),L4,1995,110 @ 4000 RPM,320 Nm @ 1500-3000 RPM,Turbocharged Common Rail,Diesel,127 g/km,212 km/h,8.8 s,All Wheel Drive,6-speed manual,5.9 L/100Km,4.2 L/100Km,4.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1500 kg,2075 kg
+BMW 3 Series Sedan (F30) LCI 318d 6MT (150),L4,1995,110 @ 4000 RPM,320 Nm @ 1500-3000 RPM,Turbocharged Common Rail,Diesel,116 g/km,216 km/h,8.6 s,Rear Wheel Drive,6-speed manual,5.3 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1430 kg,2050 kg
+BMW 3 Series Sedan (F30) LCI 318d 8AT (150),L4,1995,110 @ 4000 RPM,320 Nm @ 1500-3000 RPM,Turbocharged Common Rail,Diesel,116 g/km,212 km/h,8.4 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.3 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1450 kg,2070 kg
+BMW 3 Series Sedan (F30) LCI 320d 6MT (190),L4,1995,139 @ 4000 RPM,400 Nm @ 1750-2500 RPM,Turbocharged Common Rail,Diesel,116 g/km,235 km/h,7.3 s,Rear Wheel Drive,6-speed manual,5.3 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1430 kg,2005 kg
+BMW 3 Series Sedan (F30) LCI 320d 8AT (190),L4,1995,139 @ 4000 RPM,400 Nm @ 1750-2500 RPM,Turbocharged Common Rail,Diesel,116 g/km,230 km/h,7.2 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.2 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1450 kg,2025 kg
+BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 6MT (163),L4,1995,120 @ 4000 RPM,400 Nm @ 1750-2250 RPM,Turbocharged Common Rail,Diesel,113 g/km,230 km/h,7.9 s,Rear Wheel Drive,6-speed manual,5.2 L/100Km,3.8 L/100Km,4.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.24,1420 kg,1970 kg
+BMW 3 Series Sedan (F30) LCI 320d EfficientDynamics 8AT (163),L4,1995,120 @ 4000 RPM,400 Nm @ 1750-2250 RPM,Turbocharged Common Rail,Diesel,109 g/km,225 km/h,7.8 s,Rear Wheel Drive,8-speed automatic (Steptronic),5 L/100Km,3.6 L/100Km,4.1 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.24,1430 kg,1980 kg
+BMW 3 Series Sedan (F30) LCI 320d xDrive 8AT (190),L4,1995,139 @ 4000 RPM,400 Nm @ 1750-2500 RPM,Turbocharged Common Rail,Diesel,123 g/km,229 km/h,7.3 s,All Wheel Drive,8-speed automatic (Steptronic),5.5 L/100Km,4.2 L/100Km,4.7 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1535 kg,2110 kg
+BMW 3 Series Sedan (F30) LCI 325d 6MT (218),L4,1995,160 @ 4400 RPM,450 Nm @ 1500-2500 RPM,Turbocharged Common Rail,Diesel,132 g/km,245 km/h,6.8 s,Rear Wheel Drive,6-speed manual,6.2 L/100Km,4.3 L/100Km,5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.28,1475 kg,2035 kg
+BMW 3 Series Sedan (F30) LCI 325d 8AT (218),L4,1995,160 @ 4400 RPM,450 Nm @ 1500-2500 RPM,Turbocharged Common Rail,Diesel,125 g/km,245 km/h,6.6 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.8 L/100Km,4.2 L/100Km,4.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.28,1490 kg,2050 kg
