+BMW 3 Series Sedan (F30) LCI 330i 6MT (252),L4,1998,185 @ 5200-6000,350 @ 1450-4800,Turbocharged Direct Injection,Gasoline,151,249,5.9 s,Rear Wheel Drive,6-speed manual,8.4 L/100Km,5.4 L/100Km,6.5 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1470 kg,2045 kg
+BMW 3 Series Sedan (F30) LCI 330i 8AT (252),L4,1998,185 @ 5200-6000,350 @ 1450-4800,Turbocharged Direct Injection,Gasoline,136,249,5.8 s,Rear Wheel Drive,8-speed automatic (Steptronic),7.4 L/100Km,4.9 L/100Km,5.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1495 kg,2055 kg
+BMW 3 Series Sedan (F30) LCI 330i xDrive 8AT (252),L4,1998,185 @ 5200-6000,350 @ 1450-4800,Turbocharged Direct Injection,Gasoline,144,249,5.8 s,All Wheel Drive,8-speed automatic (Steptronic),7.8 L/100Km,5.2 L/100Km,6.2 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1565 kg,2115 kg
+BMW 3 Series Sedan (F30) LCI 340i 6MT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,179,249,5.2 s,Rear Wheel Drive,6-speed manual,10.4 L/100Km,6.1 L/100Km,7.7 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1530 kg,2090 kg
+BMW 3 Series Sedan (F30) LCI 340i 8AT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,159,249,5.1 s,Rear Wheel Drive,8-speed automatic (Steptronic),9.1 L/100Km,5.5 L/100Km,6.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.29,1540 kg,2100 kg
+BMW 3 Series Sedan (F30) LCI 340i xDrive 6MT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,185,249,5 s,All Wheel Drive,6-speed manual,10.7 L/100Km,6.3 L/100Km,7.9 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.3,1600 kg,2150 kg
+BMW 3 Series Sedan (F30) LCI 340i xDrive 8AT (326),L4,2998,240 @ 5500-6500,450 @ 1380-5000,Turbocharged Direct Injection,Gasoline,169,249,4.9 s,All Wheel Drive,8-speed automatic (Steptronic),9.7 L/100Km,5.9 L/100Km,7.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.3,1615 kg,2165 kg
+BMW 3 Series Sedan (F30) LCI 316d 6MT (116),L4,1995,85 @ 4000,270 @ 1250-2750,Turbocharged Common Rail,Diesel,113,204,10.7 s,Rear Wheel Drive,6-speed manual,5.1 L/100Km,3.8 L/100Km,4.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1420 kg,1995 kg
+BMW 3 Series Sedan (F30) LCI 316d 8AT (116),L4,1995,85 @ 4000,270 @ 1250-2750,Turbocharged Common Rail,Diesel,113,204,10.6 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.1 L/100Km,3.8 L/100Km,4.3 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1430 kg,2005 kg
+BMW 3 Series Sedan (F30) LCI 318 xDrive 6MT (150),L4,1995,110 @ 4000,320 @ 1500-3000,Turbocharged Common Rail,Diesel,127,212,8.8 s,All Wheel Drive,6-speed manual,5.9 L/100Km,4.2 L/100Km,4.8 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.27,1500 kg,2075 kg
+BMW 3 Series Sedan (F30) LCI 318d 6MT (150),L4,1995,110 @ 4000,320 @ 1500-3000,Turbocharged Common Rail,Diesel,116,216,8.6 s,Rear Wheel Drive,6-speed manual,5.3 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1430 kg,2050 kg
+BMW 3 Series Sedan (F30) LCI 318d 8AT (150),L4,1995,110 @ 4000,320 @ 1500-3000,Turbocharged Common Rail,Diesel,116,212,8.4 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.3 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1450 kg,2070 kg
+BMW 3 Series Sedan (F30) LCI 320d 6MT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,116,235,7.3 s,Rear Wheel Drive,6-speed manual,5.3 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1430 kg,2005 kg
+BMW 3 Series Sedan (F30) LCI 320d 8AT (190),L4,1995,139 @ 4000,400 @ 1750-2500,Turbocharged Common Rail,Diesel,116,230,7.2 s,Rear Wheel Drive,8-speed automatic (Steptronic),5.2 L/100Km,3.9 L/100Km,4.4 L/100Km,4633 mm,1811 mm,1430 mm,"1,542/1,582 mm",2809 mm,140 mm,17 cuFT,481 L,0.26,1450 kg,2025 kg
